Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
3,202304020,boxscore,KCR,MIN,L,4,7,,0-3,4, 3.0,Ryan,Keller,,2:35,D,"14,589",.93,---,,True,42,2023
4,202304020,boxscore,MIA,NYM,L,1,5,,1-3,4, 2.0,Senga,Rogers,,2:40,D,"18,322",.99,--,,True,43,2023
3,202304020,boxscore,WSN,ATL,W,4,1,,1-2,3, 1.5,Gore,Shuster,Finnegan,2:17,D,"21,440",.89,+,,True,44,2023
4,202304020,boxscore,SEA,CLE,L,5,6,10,1-3,5, 2.5,De Los Santos,Murfee,Stephan,2:57,D,"34,045",.88,---,,True,45,2023
3,202304020,boxscore,TBR,DET,W,5,1,,3-0,1,up 1.0,Springs,Wentz,,2:10,D,"19,425",1.03,+++,,True,46,2023
4,202304020,boxscore,SDP,COL,W,3,1,,2-2,1, Tied,Lugo,Gomber,Hader,2:03,D,"43,972",.97,++,,True,47,2023
3,202304020,boxscore,TEX,PHI,W,2,1,,3-0,1,up 1.0,Pérez,Falter,Smith,2:24,N,"25,823",.93,+++,,True,48,2023
3,202304020,boxscore,BOS,BAL,W,9,5,,2-1,2, 1.0,Houck,Irvin,,2:44,D,"27,886",.97,++,,True,49,2023
4,202304030,boxscore,NYY,PHI,W,8,1,,3-1,2, 1.0,Cortes,Walker,,2:41,N,"37,202",.91,++,,True,50,2023
5,202304030,boxscore,CHW,SFG,L,3,12,,2-3,3, 2.5,DeSclafani,Kopech,,2:36,D,"34,784",.93,-,,True,51,2023
5,202304030,boxscore,HOU,DET,L,6,7,11,2-3,3, 1.5,Wingenter,Neris,Hill,3:21,N,"29,272",.93,--,,True,52,2023
4,202304030,boxscore,KCR,TOR,W,9,5,,1-3,4, 3.0,Singer,Berríos,,2:37,N,"10,810",.79,+,,True,53,2023
4,202304030,boxscore,STL,ATL,L,4,8,,2-2,3, 1.0,Morton,Woodford,,2:46,N,"37,689",.97,-,,True,54,2023
5,202304030,boxscore,SEA,LAA,L,3,7,,1-4,5, 2.5,Tepera,Kirby,,2:49,N,"18,877",.90,----,,True,55,2023
4,202304030,boxscore,TEX,BAL,L,0,2,,3-1,1, Tied,Coulombe,Gray,Bautista,2:18,N,"15,867",1.09,-,,True,56,2023
4,202304030,boxscore,BOS,PIT,L,6,7,,2-2,3, 2.0,Underwood,Crawford,Bednar,2:57,N,"28,369",.92,-,,True,57,2023
4,202304030,boxscore,OAK,CLE,L,11,12,10,1-3,4, 2.0,Clase,May,Morgan,3:19,N,"3,035",.88,---,,True,58,2023
4,202304030,boxscore,MIL,NYM,W,10,0,,3-1,1, Tied,Peralta,Carrasco,Wilson,2:37,D,"42,017",.99,+++,,True,59,2023
5,202304030,boxscore,LAD,COL,W,13,4,,3-2,1, Tied,Almonte,Feltner,,2:47,N,"49,792",1.00,+,,True,60,2023
4,202304030,boxscore,WSN,TBR,L,2,6,,1-3,3, 2.0,Rasmussen,Williams,,2:25,N,"10,754",.85,-,,True,61,2023
5,202304030,boxscore,SDP,ARI,W-wo,5,4,,3-2,1, Tied,Hill,McGough,,2:29,N,"37,602",1.00,+++,,True,62,2023
5,202304030,boxscore,MIA,MIN,L,1,11,,1-4,4, 2.5,Mahle,Cueto,,2:31,N,"8,898",.82,---,,True,63,2023
4,202304030,boxscore,CIN,CHC,W,7,6,,3-1,1, Tied,Cruz,Smyly,Law,2:35,N,"11,941",1.04,+++,,True,64,2023
5,202304040,boxscore,WSN,TBR,L,6,10,,1-4,4, 3.0,Thompson,Finnegan,,2:45,N,"15,272",.82,--,,True,65,2023
5,202304040,boxscore,MIL,NYM,W,9,0,,4-1,1,up 1.0,Miley,Scherzer,,2:17,N,"19,412",1.05,++++,,True,66,2023
5,202304040,boxscore,TEX,BAL,L,2,7,,3-2,1, Tied,Gibson,Heaney,,2:30,N,"16,268",1.01,--,,True,67,2023
5,202304040,boxscore,KCR,TOR,L,1,4,,1-4,5, 3.0,Kikuchi,Bubic,Romano,2:32,N,"12,123",.80,-,,True,68,2023
6,202304040,boxscore,MIA,MIN,W,1,0,,2-4,3, 2.5,Alcantara,Maeda,,1:57,N,"10,668",.75,+,,True,69,2023
5,202304040,boxscore,STL,ATL,L,1,4,,2-3,4, 2.0,Dodd,Matz,Minter,2:20,N,"36,501",.98,--,,True,70,2023
5,202304040,boxscore,OAK,CLE,W-wo,4,3,,2-3,3, 1.0,May,Karinchak,,2:41,N,"3,407",.83,+,,True,71,2023
6,202304040,boxscore,HOU,DET,L,3,6,,2-4,4, 1.5,Manning,Valdez,,2:32,N,"30,613",.87,---,,True,72,2023
5,202304040,boxscore,BOS,PIT,L,1,4,,2-3,4, 3.0,Contreras,Pivetta,Bednar,2:36,N,"28,842",.84,--,,True,73,2023
6,202304040,boxscore,LAD,COL,W,5,2,,4-2,1,up 1.0,Urías,Márquez,Phillips,2:25,N,"52,290",1.05,++,,True,74,2023
5,202304040,boxscore,NYY,PHI,L,1,4,,3-2,2, 2.0,Bellatti,Germán,,2:45,N,"35,392",.92,-,,True,75,2023
5,202304040,boxscore,CIN,CHC,L,5,12,,3-2,2, 1.0,Alzolay,Farmer,,2:52,N,"13,399",1.04,-,,True,76,2023
6,202304040,boxscore,SDP,ARI,L,6,8,,3-3,2, 1.0,Ginkel,García,Jameson,2:55,D,"34,542",1.02,-,,True,77,2023
6,202304040,boxscore,SEA,LAA,W,11,2,,2-4,4, 1.5,Castillo,Suarez,,2:31,N,"19,255",.81,+,,True,78,2023
6,202304050,boxscore,NYY,PHI,W,4,2,,4-2,2, 2.0,Cole,Nola,Holmes,2:30,D,"35,847",.89,+,,True,79,2023
6,202304050,boxscore,BOS,PIT,L,1,4,,2-4,5, 4.0,Keller,Kluber,Underwood,2:32,D,"24,477",.83,---,,True,80,2023
7,202304050,boxscore,MIA,MIN,W,5,2,,3-4,2, 2.5,Floro,Jax,,2:10,D,"8,981",.78,++,,True,81,2023
6,202304050,boxscore,STL,ATL,L,2,5,,2-4,5, 3.0,Elder,Mikolas,Chavez,2:27,D,"36,300",.90,---,,True,82,2023
6,202304050,boxscore,TEX,BAL,W,5,2,,4-2,1, Tied,deGrom,Voth,Leclerc,2:19,D,"18,560",.99,+,,True,83,2023
6,202304050,boxscore,MIL,NYM,W-wo,7,6,,5-1,1,up 1.0,Williams,Ottavino,,2:45,D,"18,387",1.10,+++++,,True,84,2023
6,202304050,boxscore,WSN,TBR,L,2,7,,1-5,4, 4.0,McClanahan,Corbin,,2:32,D,"13,836",.80,---,,True,85,2023
6,202304050,boxscore,KCR,TOR,L,0,3,,1-5,5, 3.5,Manoah,Greinke,Romano,2:17,N,"10,015",.77,--,,True,86,2023
